Name,Department,Designation,Email,Contact No.,Link,Hierarchy
Gina M. Raimondo ,commerce,Secretary of Commerce ,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Don Graves,commerce,Deputy Secretary of Commerce,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Leslie B. Kiernan,commerce,General Counsel,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Jeremy Pelter,commerce,"Deputy Assistant Secretary for Administration, performing the non-exclusive functions and duties of the Chief Financial Officer and Assistant Secretary for Administration",,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Vipin Arora,commerce,Director of the Bureau of Economic Analysis,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Alan F. Estevez ,commerce,Under Secretary of Commerce for Industry and Security,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Robert Santos,commerce, Director of the U.S. Census Bureau,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Alejandra Y. Castillo,commerce,Assistant Secretary of Commerce for Economic Development,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Jed Kolko ,commerce,Under Secretary of Commerce for Economic Affairs,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Marisa Lago,commerce,Under Secretary of Commerce for International Trade,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Donald R. Cravins Jr.,commerce,Under Secretary of Commerce for Minority Business Development,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
Laurie E. Locascio,commerce,Director of NIST and the Under Secretary of Commerce for Standards and Technology,,,https://www.commerce.gov/about/leadership?q=/about/leadership&page=,Constitution --> Executive Branch --> Department of Commerce
