Name,Department,Designation,Email,Contact No.,Link,Hierarchy
Justin Abold-LaBreche,Office of Enterprise Integration,Deputy Assistant Secretary for Planning and Performance Management,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Zaneta Inez Adams,Intergovernmental Affairs (IGA),Deputy Assistant Secretary for Intergovernmental Affairs,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Deeneen U. Akeo,Office of Acquisition and Logistics (OAL),"Associate Executive Director, Procurement Policy, Systems, and Oversight",,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
James Albino,Center for Minority Veterans,"Director, Center for Minority Veterans",,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Jaime Areizaga-Soto,Board of Veterans’ Appeals,Chairman of the Board of Veterans’ Appeals,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Lenearo Ashford,VHA Procurement and Logistics Office,"Deputy Executive Director, Office of Logistics",,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
"John Becker, MHA, LFACHE, FEHFI",Office of Construction and Facilities Management (CFM),Chief Facilities Strategy Officer,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Meredith Bedenbaugh-Thomas,Office of Enterprise Integration,"Executive Director, Enterprise Program Integration Office",,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Terry R. Bentley,Office of Tribal Government Relations,Pacific District Tribal Government Relations Specialist,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
"Angela Billups, Ph.D.",Office of Acquisition and Logistics (OAL),Executive Director,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Stephanie Birdwell,Office of Tribal Government Relations,"Director, Office of Tribal Government Relations",,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Tom Blackburn,VA History Office,Webmaster and Communication Specialist,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
John W. Boerstler,Veterans Experience Office,Chief Veterans Experience Officer,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
"Jessica Bonjorni, MBA, PMP, SPHR","Chief Human Capital Management (106), Veterans Health Administration",Acting ADUSH for Workforce Services,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Tanya Bradsher,Office of the Secretary,VA Deputy Secretary,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
"Michael D. Brennan, PhD.",Office of Construction and Facilities Management (CFM),Executive Director,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Marilyn Brower,Office of Asset Enterprise Management,"Deputy Executive Director, Office of Asset Enterprise Management",,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
Melissa A. Bryant,Office of the Secretary,Senior Advisor for Strategic Engagement,,,https://department.va.gov/,Constitution --> Executive Branch --> Department of Veterans Affairs
